PID,Problem Name,C,C# [Mono],C++ 4.3.2,Go,Java,JavaScript [SpiderMonkey],Kotlin,Node.js,Objective-C,Perl,PHP,Python 3.x,Ruby,Swift
28841,First Reverse,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28925,First Factorial,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28926,Time Convert,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28927,Letter Capitalize,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28928,Longest Word,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28930,Letter Changes,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28954,Binary Gap,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28955,lexicographical,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28958,Fibonacci Sequence,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28959,missing_number,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28971,Bubble Sort,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
28972,Rotate Matrix,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
29308,Caesars Cipher,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
29311,Dates of Easter,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
29314,Minesweeper,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
29315,Popping Blocks,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
29316,Ulam Sequence,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,
